goos: linux
goarch: amd64
pkg: github.com/jacobmarble/go-checksum-benchmark
cpu: Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
BenchmarkChecksums/sha384-256KBytes-32                	  449892	     25435 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256KBytes-32                	  455558	     25517 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-256KBytes-32              	  458344	     25218 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-256KBytes-32              	  441852	     26743 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-256KBytes-32              	  345309	     34327 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-256KBytes-32              	  244497	     48156 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-256KBytes-32            	  450128	     25412 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-256KBytes-32            	  440940	     25375 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-256KBytes-32               	 3737330	      3207 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-256KBytes-32            	 5563624	      2150 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-256KBytes-32      	30044512	       372.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-256KBytes-32         	  743642	     15697 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-256KBytes-32                 	 2420871	      4956 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-256KBytes-32                 	 1588263	      7547 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-256KBytes-32                	 1593188	      7551 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-256KBytes-32                 	 1589689	      7553 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-256KBytes-32                	 1589821	      7545 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-256KBytes-32                  	27427405	       426.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-256KBytes-32              	26032858	       463.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-256KBytes-32        	16716789	       716.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-256KBytes-32    	 5425705	      2212 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-256KBytes-32    	14146357	       846.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-256KBytes-32     	 7151995	      1665 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-256KBytes-32     	12854976	       920.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-8MBytes-32                     	     366	  32696803 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8MBytes-32                     	     872	  13724045 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8MBytes-32                    	     573	  20799994 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8MBytes-32                  	     230	  51953028 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-8MBytes-32                  	     230	  52010671 ns/op	      32 B/op	       1 allocs/op
