goos: darwin
goarch: amd64
pkg: github.com/jacobmarble/go-checksum-benchmark
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkChecksums/crc64-256KBytes-16                 	 4506120	      2666 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-256KBytes-16                 	 2159472	      5577 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-256KBytes-16                	 2169812	      5548 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-256KBytes-16                 	 2149810	      5512 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-256KBytes-16                	 2143414	      5587 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-256KBytes-16                  	83548699	       146.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-256KBytes-16              	71296911	       164.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-256KBytes-16        	30492739	       398.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-256KBytes-16    	12024792	      1030 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-256KBytes-16    	29628666	       406.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-256KBytes-16     	16118406	       746.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-256KBytes-16     	29446150	       408.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-8MBytes-16                     	     597	  20051286 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8MBytes-16                     	    1296	   9333627 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8MBytes-16                    	    1750	   6655899 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8MBytes-16                  	     702	  16836577 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-8MBytes-16                  	     720	  16731005 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha384-8MBytes-16                  	    1033	  11733021 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8MBytes-16                  	    1020	  12158974 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8MBytes-16                	     633	  18809621 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8MBytes-16                	     598	  20067805 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8MBytes-16                	     463	  25973693 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8MBytes-16                	     318	  37377573 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8MBytes-16              	    1035	  11706714 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8MBytes-16              	    1039	  11863587 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8MBytes-16                 	    4766	   2548960 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8MBytes-16              	   33506	    365222 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8MBytes-16        	   44448	    271840 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8MBytes-16           	     794	  15228253 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8MBytes-16                   	    3408	   3544561 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8MBytes-16                   	    1581	   7510622 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8MBytes-16                  	    1581	   7567076 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8MBytes-16                   	    1592	   7606748 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8MBytes-16                  	    1606	   7576759 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8MBytes-16                    	   51631	    221917 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8MBytes-16                	   54014	    221656 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8MBytes-16          	   23656	    504301 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8MBytes-16      	    8368	   1358339 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8MBytes-16      	   23308	    515729 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8MBytes-16       	   12186	    980460 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8MBytes-16       	   23452	    512100 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	github.com/jacobmarble/go-checksum-benchmark	2054.015s
